@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2_clustered

@attribute Instance_number numeric
@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
53,CdS1,2010,F,-1.288611,-1.330615,-1.228015,0.341705,LS,'Non superato',-1.822323,cluster3
54,CdS1,2010,M,-1.740318,-1.65322,-1.584738,-2.603863,TC,'Non superato',-1.822323,cluster3
55,CdS1,2010,M,0.969922,1.411528,1.778652,0.695173,LS,EsameMatematica,0.288857,cluster1
56,CdS1,2010,F,0.066509,0.766318,1.167127,0.459528,LS,EsameMatematica,-0.078305,cluster0
57,CdS1,2010,M,0.292362,1.411528,1.778652,0.459528,LS,EsameMatematica,0.380647,cluster1
58,CdS1,2010,M,0.066509,0.605015,0.861364,-0.129586,LS,EsameMatematica,0.197066,cluster0
59,CdS1,2010,F,-1.288611,-1.491917,-1.431856,-0.247409,LS,'Non superato',-1.822323,cluster3
60,CdS1,2010,F,-3.095438,-1.65322,-1.584738,-2.603863,TC,'Non superato',-1.822323,cluster3
61,CdS1,2010,M,1.647482,1.411528,1.778652,0.695173,LS,EsameMatematica,0.747809,cluster1
62,CdS1,2010,M,-2.417878,-1.330615,-1.431856,0.223882,TC,'Non superato',-1.822323,cluster3
63,CdS2,2010,M,0.066509,-1.65322,-1.584738,-2.603863,TC,'Non superato',-1.822323,cluster3
64,CdS2,2010,M,0.518216,-0.524102,-0.514568,0.341705,LS,EsameMatematica,0.288857,cluster2
65,CdS2,2010,M,-1.062758,-1.65322,-1.584738,-2.603863,LS,'Non superato',-1.822323,cluster3
66,CdS2,2010,M,-1.740318,-0.3628,-0.514568,0.341705,IT,EsameMatematica,0.380647,cluster2
