"CdS","Coorte","Genere","Voto_test","Crediti_convoto","Crediti_totali","Voto_medio","Scuola_provenienza","Esame_Matematica","Voto_Matematica"
"CdS1","2010","M",0.969922254633041,-0.201497189884694,1.16712679067967,0.223882330740011,"LC","EsameMatematica",0.0134854434952277
"CdS1","2010","M",-0.159344370404,-1.16931215260572,-1.27897506265295,0.223882330740011,"LS","EsameMatematica",0.0134854434952277
"CdS1","2010","F",-1.06275767043363,-0.524102177458369,-0.208805501819925,-0.247408624358996,"LS","EsameMatematica",0.472437553609054
"CdS1","2010","F",0.292362279610817,0.443712785262656,0.861364059013096,0.459527808289515,"LS","EsameMatematica",0.931389663722881
"CdS1","2010","F",-0.159344370404,0.766317772836331,1.01424542484639,0.106059591965259,"TC","EsameMatematica",0.380647131586289
"CdS1","2010","F",0.969922254633041,1.41152774798368,1.77865225401283,0.695173285839018,"LS","EsameMatematica",0.656018397654585
"CdS1","2010","F",0.0665089546034082,1.41152774798368,1.62577088817954,0.459527808289515,"LS","EsameMatematica",0.288856709563524
"CdS1","2010","M",0.969922254633041,1.41152774798368,1.77865225401283,0.930818763388522,"LS","EsameMatematica",0.839599241700116
"CdS1","2010","F",0.744068929625633,0.443712785262656,1.93153361984612,0.223882330740011,"LS","EsameMatematica",0.56422797563182
"CdS1","2010","M",-0.385197695411408,0.121107797688981,0.555601327346519,-0.129585885584244,"LS","EsameMatematica",-0.0783049785275377
"CdS1","2010","F",0.292362279610817,-0.524102177458369,-0.667449599319791,-0.0117631468094923,"LC","Non superato",-1.82232299696008
"CdS1","2010","M",0.518215604618225,0.121107797688981,0.40271996151323,0.223882330740011,"LS","EsameMatematica",0.105275865517993
"CdS1","2010","M",1.64748222965527,1.41152774798368,1.77865225401283,0.930818763388522,"LS","EsameMatematica",1.02318008574565
"CdS1","2010","M",0.0665089546034082,0.121107797688981,1.32000815651296,-0.247408624358996,"IT","Non superato",-1.82232299696008
"CdS1","2010","F",1.42162890464786,-0.524102177458369,0.249838595679941,-0.0117631468094923,"LS","EsameMatematica",0.472437553609054
"CdS1","2010","F",0.292362279610817,0.766317772836331,1.01424542484639,-0.129585885584244,"LS","EsameMatematica",0.105275865517993
"CdS1","2010","F",0.969922254633041,1.41152774798368,1.77865225401283,0.81299602461377,"LS","EsameMatematica",0.931389663722881
"CdS1","2010","M",-1.06275767043363,-0.846707165032044,-0.514568233486502,0.223882330740011,"IT","Non superato",-1.82232299696008
"CdS1","2010","M",0.744068929625633,1.41152774798368,1.77865225401283,0.341705069514763,"LS","EsameMatematica",0.105275865517993
"CdS1","2010","M",1.19577557964045,1.41152774798368,1.62577088817954,0.577350547064266,"LS","EsameMatematica",0.656018397654585
"CdS1","2010","M",0.518215604618225,1.41152774798368,1.77865225401283,0.695173285839018,"LS","EsameMatematica",0.56422797563182
"CdS1","2010","M",-0.385197695411408,0.605015279049493,0.861364059013096,0.223882330740011,"LS","EsameMatematica",0.0134854434952277
"CdS1","2010","M",-1.28861099544104,-1.49191714017939,-1.58473779431952,-0.0117631468094923,"IT","Non superato",-1.82232299696008
"CdS1","2010","M",0.0665089546034082,1.41152774798368,1.62577088817954,0.577350547064266,"IT","EsameMatematica",0.56422797563182
"CdS1","2010","M",1.19577557964045,0.766317772836331,1.16712679067967,0.223882330740011,"LS","EsameMatematica",0.0134854434952277
"CdS1","2010","F",1.19577557964045,-1.00800965881888,-1.12609369681966,0.81299602461377,"LS","Non superato",-1.82232299696008
"CdS1","2010","M",0.518215604618225,1.41152774798368,1.77865225401283,0.695173285839018,"LS","EsameMatematica",0.56422797563182
"CdS1","2010","F",-0.611051020418817,0.766317772836331,1.16712679067967,0.106059591965259,"LC","EsameMatematica",0.197066287540758
"CdS1","2010","M",0.518215604618225,1.41152774798368,1.77865225401283,0.930818763388522,"LC","EsameMatematica",1.02318008574565
"CdS1","2010","F",0.744068929625633,1.41152774798368,1.62577088817954,0.695173285839018,"LS","EsameMatematica",0.472437553609054
"CdS1","2010","M",0.292362279610817,1.41152774798368,1.77865225401283,-0.0117631468094923,"LS","EsameMatematica",0.197066287540758
"CdS1","2010","M",0.0665089546034082,-0.0401946960978565,0.40271996151323,-0.247408624358996,"LC","EsameMatematica",0.0134854434952277
"CdS1","2010","M",0.0665089546034082,-1.16931215260572,-0.82033096515308,0.223882330740011,"LS","Non superato",-1.82232299696008
"CdS1","2010","M",1.64748222965527,1.41152774798368,1.77865225401283,0.930818763388522,"LS","EsameMatematica",0.931389663722881
"CdS1","2010","F",-0.385197695411408,-1.33061464639256,-1.43185642848623,0.223882330740011,"LS","Non superato",-1.82232299696008
"CdS1","2010","F",0.292362279610817,0.766317772836331,1.16712679067967,0.106059591965259,"LS","EsameMatematica",0.105275865517993
"CdS1","2010","M",-0.611051020418817,-0.524102177458369,-0.055924135986636,0.223882330740011,"LC","EsameMatematica",0.197066287540758
"CdS1","2010","F",0.744068929625633,1.41152774798368,1.62577088817954,0.106059591965259,"LS","EsameMatematica",0.380647131586289
"CdS1","2010","M",-0.385197695411408,0.121107797688981,0.555601327346519,-0.129585885584244,"LS","EsameMatematica",0.656018397654585
"CdS1","2010","M",1.42162890464786,1.41152774798368,1.77865225401283,0.930818763388522,"LS","EsameMatematica",0.931389663722881
"CdS1","2010","M",1.42162890464786,1.41152774798368,1.77865225401283,0.695173285839018,"LS","EsameMatematica",0.472437553609054
"CdS1","2010","F",-1.96617097046327,-1.65321963396623,-1.58473779431952,-2.60386339985403,"Altro","Non superato",-1.82232299696008
